,Unnamed: 0,text,intent,intentId,labels,scores
0,15,Removing my FB account.,How do I delete my Facebook account?,2,1,5
1,1700,What is the easiest way to export all my pm's from fb?,How can I download all messages from Facebook?,109,108,5
2,1323,Is there something that is left out of google results?,What can you NOT find on Google? [closed],85,84,5
3,847,"I refuse to register on Quora, I resent such bullying tactics. Still, is it possible to read all the answers to a question there anyway?",How can I read all answers on Quora without having to register?,53,52,5
4,650,How to include start time point for a youtube video when I link it to someone?,Linking directly to a specific point in time of a YouTube video,40,39,5
5,298,How can I use logical expressions on multiple criteria when searching gmail?,How to specify “OR” conditions for Gmail filter,18,17,5
6,1598,Getting my bookmarks and favorites from my old computer when getting a new one.,Is there a way for to store bookmarks and favorites so that I can access from more than a single computer?,103,102,5
7,937,"To search for email sent only to you and not to a mailing list, for example, you have to add the following to the search box (and then you can create a filter using that search; there is a link in the expanded search box that says ""Create filter >>"" or something):  To:me AND -  This means it'll search for email sent to ""me"" (that's you) and not to everybody else (including you) (that's  ), but the first part (i.e., To:me ) overrides that.",How can I set a Gmail filter that finds email sent “only to me”?,58,57,5
8,1565,Have look at Tungle.me . I use it on a regular basis for both group meetings and one-on-one where I'll let the other person pick a time among a set of availabilities that are good for me.,What is a good webapp for finding the best meeting time for a group of people? [closed],101,100,5
9,147,Do google documents support syntax coloring.,How can I get code syntax highlighting in Google Docs?,9,8,5
10,157,"Just to be clear for rookies like me,  No, there is no code highlighting in Google Docs.",How can I get code syntax highlighting in Google Docs?,9,8,5
11,154,"No. For programming online when out and about, check out Mozilla Bespin  EDIT: Mozilla Bespin is dead, it was merged in Cloud 9 IDE .",How can I get code syntax highlighting in Google Docs?,9,8,5
12,328,"My kid archived some messages I need on gmail, what can I do to fix it?",How do I retrieve a message I accidentally archived in Gmail?,20,19,5
13,1730,"I was trying to find every file that had owners that were not myself as well, it was driving me crazy. Somehow there were a good amount of files and folders in there that I never remember having added at all. Not sure at all how that happened. Anyways, after playing around for a bit I found that if you search at the top, use:  -owner:me  That will show every file that has an owner other than yourself!",How can I see who has access to my Google Drive folders?,110,109,5
14,751,It is possible to use the API to search all files and filter the results down to the desired folder / subfolders. Here is an open source implementation:  http://ljv5555.github.io/drive-folder-search/app/,"In Google Drive, is there a way to search files located in a particular folder?",46,45,5
15,1076,After a cite a paper how do I add its reference to the end of the document in google docs?,Adding bibliographic references to a Google Docs document?,68,67,5
16,465,"I know a great guy on youtube, I want to play all his videos one after the other, how do I go about this?",Play all YouTube videos uploaded by one user,29,28,5
17,834,"Gmail won't let me send executable files as attachments, is there an option around this?",How can I send a Windows executable via Gmail?,52,51,5
18,1527,Is it possible to replace a video on youtube with a new one?,How to replace a video on YouTube,99,98,5
19,865,Can I specify on trello that a task should be completed before another starts?,How do you handle dependencies between cards with Trello?,54,53,5
20,1757,"It's possible that he is more active with you on facebook than with the other friends, which would place the first Rachel higher in the algorithm than the Rachel who is friends with people he doesn't interact with as much.  Again, this is just conjecture as I don't work for Facebook.",How does Facebook guess results when you search for someone?,112,111,5
21,666,"As of 2014-04-04, there are a couple of ways to get from a document to its containing folder.  From the open document, click the folder icon next to the document's title. A dialog appears with ""This item is in"" and the containing folder name. The folder name is linked to the folder.If a ""Move to"" dialog appears instead, the document's containing folder is the root. If it's your document or or you've explicitly added it, it's in My Drive. If not, try More > All Items in the folder list at the left of the document list view.  From the document search view, select the item. More > Details and activity > Details > Folders. Any folder names listed are linked to the corresponding folders.  As of 2014-12-03, I can no longer figure out how to get from a a file view to its containing folder, for files that are not collaborative Google documents. Please comment or edit this answer if you know how.",How to view the parent folder of a Google Document?,41,40,5
22,1476,"I dont want people to see I was writing mails late at night, I'd like to write them now but set up that they get automatically sent tomorrow morning. Can I do this in gmail?",Can I set an e-mail to send on a timer within Gmail?,96,95,5
23,1362,Is there a way to get a list of all available (public) trello boards?,Can I browse all the public Trello boards available?,88,87,5
24,1951,"There is no way you can tell if the companies can get access to your files, and given that they could probably bypass your password for login - it's likely that they could get to your files if they really wanted to.  The only way to be 100% sure that you alone have access to your files is to encrypt them or host the service yourself. In the latter case, you should be aware that any large company is probably going to be able to do backup and security better than you.  Finally - A company like dropbox has better things to do than to go through your files. I would suggest that for larger / more well known companies, your files will probably be safe. Firstly because their businesses rely on you trusting them and secondly, because you're just one account in a myriad of accounts.",Can I trust dropbox and similar services? [closed],124,123,5
25,1130,I have found Amara UniversalSubtitles service recently that is doing just that. There were some other similar startups before but it seems they got discontinued.,Add subtitles to a video of another user on YouTube,71,70,5
26,463,"You can also just hit ""forward"", and then change all aspects of the email, including the subject, and the receiver won't know the difference.  Some email applications like Thunderbird will flag the email as having been forwarded, but Gmail doesn't do this. It just determines how it initially sets up the email.  I believe this would be the easiest method for you, rather than using Google Docs.","In Gmail, how can I attach an attachment from one email to another, without saving the attachment first or forwarding the message?",28,27,5
27,283,Does trello support importing from csv?,How can I import a large list of tasks into Trello,17,16,5
28,752,"It is here!!! finally! I tested it myself and it works!:  Search in the Docs, Sheets, and Slides home screens  To find the right file quickly in the new Docs, Sheets, and Slides home screens, you can search directly in the search box at the top of the page.  As you type in the search box, you’ll see relevant results from across all of your files show up below your search. When you press Enter, the results that appear on the page will show files only from the specific home screen you’re using. For example, if you search and press Enter in Sheets, only Google Sheets results will show up in your home screen.  Find other file formats  You can quickly find your other files, for example your .doc, .pdf, and .xls files, from the home screens by using the file picker. The file picker allows you to browse your Google Drive files and folders and open up any file you're looking for.  Go to any of the Docs, Sheets, or Slides home screens. Click the File picker icon  in the top right. Search within your files and folders until you find the file you’re looking for. Click Select and the file will open in a new tab.","In Google Drive, is there a way to search files located in a particular folder?",46,45,5
29,760,How can I change the maximum number of results returned by gmail mail search?,How to set up Gmail to show more than 20 results per page when searching?,47,46,5
30,1480,Is it possible to send an e-mail with a delay on gmail?,Can I set an e-mail to send on a timer within Gmail?,96,95,5
31,1405,"I'm kinda low on bandwidth, so I'd like to download only the autogenerated transcription of a youtube video while ignoring the video itself, is this possible?",Downloading auto-generated YouTube transcriptions,91,90,5
32,49,Making the text formatting strike through in my gmail mails.,How do I strikethrough text in Gmail?,4,3,5
33,88,"Assuming that once you're done making a document in markdown you want to convert it into a true google document (as opposed to being able to preview the document in the google drive web interface and continue editing in markdown syntax) so that others unfamiliar with markdown can collaborate I've found the following fairly quick:   Create your mark down wherever's convenient.  When done export to the browser  Copy the resulting text from the browser  Paste into a new Google Doc   Google docs is ready to have HTML pasted in so it'll preserve all the headings, spacing, lists, and other formats.  Of course this only makes sense if you just want to personally work in markdown, but collaborate with others in a regular google doc.",How can Google Docs and markdown play nice?,6,5,5
34,835,How can I send an executable file via gmail?,How can I send a Windows executable via Gmail?,52,51,5
35,1395,"I like google docs but i don't want my sensitive data in the cloud, is there a similar but self hosted solution?",Self-Hosted alternative to Google Docs? [closed],90,89,5
36,860,Does trello support of conditional workflows?,How do you handle dependencies between cards with Trello?,54,53,5
37,1953,"Not sure about Dropbox. But from the Wuala service I am using, this is what they claim:   Wuala protects your privacy: In stark contrast to most other online   storage services, all your files get encrypted on your computer, so   that no one - including the employees at Wuala and LaCie - can access   your private files. Your password never leaves your computer.  Wuala employs the 128 bit AES, 2048 bit RSA and SHA-256 algorithms for   encryption, signatures and integrity checks. If you're interested in   how Wuala manages encryption, have a look at our publication on   Cryptree.   Convincing enough for me.",Can I trust dropbox and similar services? [closed],124,123,5
38,1099,Google have just launched their own reverse image search;  http://www.google.com/insidesearch/searchbyimage.html   Now you can explore the web in an entirely new way by beginning your Google search with an image.   Hope this helps.,Reverse image search engine [closed],69,68,5
39,1534,"In my opinion, probably the issue is not that YouTube would or would not allow video replacement but it’s the original content that can't be altered. By allowing such ability, it would contaminate the authenticity of original content.",How to replace a video on YouTube,99,98,5
40,215,"This works very well, except in my experience, it only shows 20 per page, no matter what your settings are, and won't show the total number to fix, but still... got the job done! Put this in your inbox search box:  in:inbox has:nouserlabels",How can I filter my Gmail messages that aren't labeled?,12,11,5
41,1226,Which setting do I have to change so that my default reply address is the one for which the mail was sent?,"In Gmail, can I base my “send from” address on a filter?",78,77,5
42,1390,"I'm afraid for my sensitive data in the cloud, is there something similar to google documents that could be self hosted?",Self-Hosted alternative to Google Docs? [closed],90,89,5
43,1777,"If you're comfortable using a site just for books, I've always loved LibraryThing.com . They also have a tagging mechanism that I've used to keep track of books that are loaned out - e.g. tag them ""loaned out"" and ""loaned to X"" and then you can easily look at all books in the ""loaned out"" tag and see who has them.",Are there any web apps that can keep track of collections of books or movies? [closed],113,112,5
44,476,"Much easier way now:   Go to the user's Youtube home page (e.g. https://www.youtube.com/user/xyz/ ).  Hover over the ""Uploads"" section. You will see a ""Play all"" button appear next to ""Uploads"".  Click on ""Play all"" and it will generate a playlist with all the user's uploaded videos from newest to oldest. (I just wish there was an easy option to sort from oldest to newest)   Screenshot:",Play all YouTube videos uploaded by one user,29,28,5
45,722,Do google mailing lists support non gmail mails?,How can I subscribe to a Google mailing list with a non-Google e-mail address?,45,44,5
46,7,Does github support strikethrough letters?,Strikethrough with GitHub Markdown,1,0,5
47,1074,"I'd like to introduce bibliographic references to my google docs, how do I do this?",Adding bibliographic references to a Google Docs document?,68,67,5
48,1742,"Edit 2013/12/16: they added an option to mute all sounds, indefinitely. Finally! See this answer   As of today (2013/05/21), you can't (even though it's requested ), but I found a way to prevent the sound to be loaded and therefore played.  In short: I redirect the link to the alert audio file (which you can find at the bottom of the answer) to a non-existent one.  This is how:   Download the extension Redirector from the Chrome Web Store  visit: chrome-extension://lacckjdlmkdhcacjdodpjokfobckjclh/html/options.html#ruleMgr  click on [+]  set it like in this screenshot  save  you might have to restart Chrome (or the Hangouts extensions)    Text to enter:  ssl.gstatic.com/ incoming_message_eb39ce414e3ffba41a8e173581dc7248  To see if it works, try this url, it shouldn't load  https://ssl.gstatic.com/chat/sounds/incoming_message_eb39ce414e3ffba41a8e173581dc7248.mp3",How do you disable the notification alert sounds in the new Google Hangouts?,111,110,5
49,704,"Search in gmail works on all my inboxes, but some of them I don't care about, can I do something about this?",How can I only search the Primary inbox in Gmail?,44,43,5
50,458,Is there a way to attach to a new mail an attachment received in another mail?,"In Gmail, how can I attach an attachment from one email to another, without saving the attachment first or forwarding the message?",28,27,5
51,795,How do I send fax online?,How can I send a fax online? [closed],49,48,5
